id,type,a_g,b_g,c_g,snratio_g,chisq_g,nrise_g,a_r,b_r,c_r,snratio_r,chisq_r,nrise_r
ZTF19abclykm,(TNS) SLSN-II,68.20020602519223,-45.48395396215142,2067.539824437421,8.400005257256497,32412.2001735115,68.0,861.5210397181736,-863.9258840755211,3641.52860588713,12.066603552388855,57763.46223022543,65.0
ZTF21aabyifm,(TNS) SN Ib/c,0.33031324924880456,2.3909816581674033,5734.550653187849,10.914619780908351,7.078842250674083,6.0,0.43490832244033956,1.6142769614967276,6728.681693865345,14.571345865018271,314.8525521780668,7.0
ZTF20accrkpa,(TNS) SN II,0.1615708298677007,1.1093239887079052,1094.3618185002567,6.245353321752935,60.97199454334681,11.0,0.0706736996361659,12.158392194267172,1779.7059936861565,6.776909287610531,133.68799435558878,11.0
ZTF18abvpnnb,(TNS) AGN,0.3708846531300248,-757.3631636750811,1462.7429918626406,6.096413662085022,347.38818021936453,7.0,0.007797148775958983,460.71348459120594,45798.20900070247,7.492475406826742,3.289729425329888,5.0
ZTF20abwzqzo,(TNS) SN IIb,0.008097791487087658,504.4008047088985,144962.1846259641,7.821697904542281,103.57177246619764,5.0,0.27974594861234575,6.987954353940771,6659.804282911346,12.614575386877,1248.524369498631,9.0
ZTF18abrzeuq,(TNS) SN Ia-pec,0.0007891843216442486,6139.43932701075,49757.489370242365,3.8729705624546105,3.044130833838413,4.0,0.09625811433483793,-21.125668744213588,1036.073777430486,6.359515249147811,84.37916950071303,28.0
ZTF20abjonjs,(TNS) SN II,5.909089310183869,-92.17024843403904,4614.406418585543,11.81180096975279,5187.176554871944,8.0,1.3774061912552913,0.7623889542932224,6721.968528922749,15.34824679541802,909.0878156310705,14.0
ZTF21aahgspm,(TNS) SN II,0.9028804409245518,-1.5912556940462155,4519.192223064929,12.459780225843689,32.6934682839308,5.0,0.6125217405917166,-0.8401700286339921,7151.071544427169,14.727652724952277,49.558935554397316,11.0
ZTF18abgqxlw,(TNS) Varstar,0.06282262641438349,33.91501477742725,42447.34079012129,24.209603487128,107484.4428915203,21.0,0.047435740424741385,59.994463066405785,259677.36729236858,30.557985215811208,2042055.6781550182,27.0
ZTF20aayoxqe,(TNS) Varstar,0.027324467707180517,-67.54071291552634,1359.1641060692025,5.171859863342667,232.15347932780705,13.0,0.05840721935563127,11.290496227695831,8009.8539130468325,9.55309892296333,1724.8089977144245,27.0
